What are the names of all the Cities in Canada\tSELECT geo_name, id\nFROM   data_commons_public_data.cybersyn.geo_index\nWHERE iso_name ilike '%can%
加拿大所有城市的名称\tSELECT geo_name, id\nFROM   data_commons_public_data.cybersyn.geo_index\nWHERE iso_name ilike '%can%
what are the number of public holidays for US year on year ? \tThe corrected SQL query is:\n\n```\nSELECT date_part('year', date) as year,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.public_holidays \nWHERE  geo ilike '%United States%'\nGROUP BY year\nORDER BY year asc\n``` \n\nI replaced `geo_name` with `geo` in the `WHERE` clause as the error message suggests that `geo_name` is an invalid identifier.
美国每年的公共假期数量是多少？\tThe corrected SQL query is:\n\n```\nSELECT date_part('year', date) as year,\n       count(*) as num_public_holidays\nFROM   data_commons_public_data.cybersyn.public_holidays \nWHERE  geo ilike '%United States%'\nGROUP BY year\nORDER BY year asc\n``` \n\nI replaced `geo_name` with `geo` in the `WHERE` clause as the error message suggests that `geo_name` is an invalid identifier.
What is average Fertility Rate measure of Canada in 2002 ?\tSELECT variable_name,\n       avg(value) as average_fertility_rate\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Fertility Rate'\n   and geo_id = 'country/CAN'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY 1;
2002年加拿大平均生育率是多少？\tSELECT variable_name,\n       avg(value) as average_fertility_rate\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  variable_name = 'Fertility Rate'\n   and geo_id = 'country/CAN'\n   and date >= '2002-01-01'\n   and date < '2003-01-01'\nGROUP BY 1;
what is the  % growth of Housing Units in the United States year on year?\tSELECT date,\n       ((value/lag(value, 1) OVER (ORDER BY date asc)) - 1) * 100 as percent_growth\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/USA'\n   and variable_name = 'Housing Units'\n   and date >= '2001-01-01'\n   and date < '2022-01-01'\nORDER BY date asc
美国住房单元年度同比增长率是多少？\tSELECT date,\n       ((value/lag(value, 1) OVER (ORDER BY date asc)) - 1) * 100 as percent_growth\nFROM   data_commons_public_data.cybersyn.timeseries\nWHERE  geo_id = 'country/USA'\n   and variable_name = 'Housing Units'\n   and date >= '2001-01-01'\n   and date < '2022-01-01'\nORDER BY date asc
What are the 10 countries with highest government debt in 2020 ? \tSELECT geo_name,\n       value\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Amount of Debt: Government'\n   and date = '2020-01-01'\n   and geo_id like 'country/%'\nORDER BY value desc limit 10;
2020年政府债务最高的10个国家是哪些？\tSELECT geo_name,\n       value\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Amount of Debt: Government'\n   and date = '2020-01-01'\n   and geo_id like 'country/%'\nORDER BY value desc limit 10;
Compare Unemployment Rate in Manhattan County versus New York State\tSELECT t1.date,\n\n       t2.geo_name,\n\n       t1.value\n\nFROM DATA_COMMONS_PUBLIC_DATA.cybersyn.timeseries AS t1\n\nINNER JOIN DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_index AS t2\n\nWHERE t1.geo_id in ('geoId/36061',\n\n                    'geoId/36')\n\n  AND t1.variable_name = 'Unemployment Rate of a Population'\n\n  AND date BETWEEN '2015-01-01' AND '2022-10-01'\n\n  AND t1.geo_id=t2.id\n\nORDER BY date ASC
比较曼哈顿县与纽约州的失业率\tSELECT t1.date,\n\n       t2.geo_name,\n\n       t1.value\n\nFROM DATA_COMMONS_PUBLIC_DATA.cybersyn.timeseries AS t1\n\nINNER JOIN DATA_COMMONS_PUBLIC_DATA.cybersyn.geo_index AS t2\n\nWHERE t1.geo_id in ('geoId/36061',\n\n                    'geoId/36')\n\n  AND t1.variable_name = 'Unemployment Rate of a Population'\n\n  AND date BETWEEN '2015-01-01' AND '2022-10-01'\n\n  AND t1.geo_id=t2.id\n\nORDER BY date ASC
What are the 10 countries with highest government debt in 2019 ? \tSELECT geo_name,\n       value\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Amount of Debt: Government'\n   and date = '2019-01-01'\n   and geo_id like 'country/%'\nORDER BY value desc limit 10;
2019年政府债务最高的十个国家是哪些？\tSELECT geo_name,\n       value\nFROM   data_commons_public_data.cybersyn.timeseries join data_commons_public_data.cybersyn.geo_index\n        ON timeseries.geo_id = geo_index.id\nWHERE  variable_name = 'Amount of Debt: Government'\n   and date = '2019-01-01'\n   and geo_id like 'country/%'\nORDER BY value desc limit 10;
